+-----------+--------------------------+--------------------------+----------+-----------+---------+---------------------+---------------------+------------+---------+---------+---------+----------+----------+----------+----------+----------+----------+----------+----------+--------+--------+-------+------+------+------+
| serial_no | kintex_a_id              | kintex_b_id              | batch_id | db_status | burn_in | burn_in_start       | burn_in_stop        | burn_in_op | kin_lot | pro_lot | gbt_lot | ina_lot  | ltm_lot  | mos_lot  | op4_lot  | ok4_lot  | ok1_lot  | mem_lot  | sfp_lot  | e_test | p_test | a0    | a1   | b0   | b1   |
|   1101056 | 40020001017166292D312205 | 40020001017166292D104485 |        4 |         1 |       1 | 2026-04-17 18:00:00 | 2026-04-23 13:20:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0354  | 0355 | 0356 | 0359 |
|   1101057 | 40020001017166292CB18385 | 40020001017166292CB0C305 |        4 |         1 |       1 | 2026-04-17 18:00:00 | 2026-04-23 13:20:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0416  | 0433 | 0358 | 0357 |
|   1101058 | 40020001017166292D214305 | 40020001017166292CB18305 |        4 |         1 |       1 | 2026-04-17 18:00:00 | 2026-04-23 13:20:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0432  | 0431 | 0430 | 0429 |
|   1101059 | 40020001017166292D00E345 | 40020001017166292CE0C585 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0320  | 0321 | 0322 | 0323 |
|   1101060 | 40020001017166292D114205 | 40020001017166292CA12405 |        4 |         1 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 03424 | 0325 | 0326 | 0327 |
|   1101061 | 40020001017166292CB1A4C5 | 40020001017166292CB08085 |        4 |         1 |       1 | 2026-04-17 18:00:00 | 2026-04-23 13:20:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0414  | 0415 | 0427 | 0428 |
|   1101062 | 40020001017166292D214205 | 40020001017166292CB06245 |        4 |         1 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0336  | 0337 | 0338 | 0339 |
|   1101063 | 40020001017166292D208245 | 40020001017166292CF123C5 |        4 |         1 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0482  | 0483 | 0484 | 0485 |
|   1101064 | 40020001017166292CF0C585 | 40020001017166292C2103C5 |        4 |         1 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0084  | 0091 | 0092 | 0093 |
|   1101065 | 40020001017166292CA10445 | 40020001017166292CB06285 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0314  | 0315 | 0316 | 0319 |
